xmin,ymin,xmax,ymax,name,file,width,height,class
185,100,226,144,with_mask,maksssksksss0.png,512,366,0
325,90,360,141,without_mask,maksssksksss0.png,512,366,2
321,34,354,69,with_mask,maksssksksss1.png,400,156,0
224,38,261,73,with_mask,maksssksksss1.png,400,156,0
143,74,174,115,with_mask,maksssksksss1.png,400,156,0
74,69,95,99,with_mask,maksssksksss1.png,400,156,0
191,67,221,93,with_mask,maksssksksss1.png,400,156,0
21,73,44,93,with_mask,maksssksksss1.png,400,156,0
369,70,398,99,with_mask,maksssksksss1.png,400,156,0
83,56,111,89,without_mask,maksssksksss1.png,400,156,2
98,267,194,383,with_mask,maksssksksss10.png,301,400,0
189,30,245,88,with_mask,maksssksksss100.png,400,226,0
118,87,163,126,with_mask,maksssksksss100.png,400,226,0
48,294,164,400,with_mask,maksssksksss101.png,301,400,0
212,57,251,106,with_mask,maksssksksss102.png,400,225,0
42,54,94,110,with_mask,maksssksksss103.png,400,300,0
188,46,236,106,with_mask,maksssksksss103.png,400,300,0
261,88,303,130,with_mask,maksssksksss103.png,400,300,0
368,112,400,151,with_mask,maksssksksss103.png,400,300,0
42,109,66,140,without_mask,maksssksksss104.png,400,267,2
2,105,22,125,without_mask,maksssksksss104.png,400,267,2
133,108,174,152,with_mask,maksssksksss104.png,400,267,0
221,101,256,139,with_mask,maksssksksss104.png,400,267,0
304,131,331,158,without_mask,maksssksksss104.png,400,267,2
178,143,213,202,with_mask,maksssksksss105.png,400,267,0
280,103,312,145,with_mask,maksssksksss105.png,400,267,0
29,202,65,265,with_mask,maksssksksss105.png,400,267,0
154,51,423,391,with_mask,maksssksksss106.png,600,399,0
155,29,180,51,with_mask,maksssksksss108.png,400,225,0
206,35,228,58,with_mask,maksssksksss108.png,400,225,0
216,92,372,251,with_mask,maksssksksss109.png,400,400,0
23,114,77,172,mask_weared_incorrect,maksssksksss11.png,400,267,1
147,157,200,211,with_mask,maksssksksss11.png,400,267,0
201,191,230,234,with_mask,maksssksksss11.png,400,267,0
243,192,293,247,with_mask,maksssksksss11.png,400,267,0
309,182,346,224,with_mask,maksssksksss11.png,400,267,0
249,108,276,140,with_mask,maksssksksss11.png,400,267,0
275,99,303,128,with_mask,maksssksksss11.png,400,267,0
214,76,237,99,with_mask,maksssksksss11.png,400,267,0
6,111,43,148,without_mask,maksssksksss110.png,400,267,2
22,20,49,46,without_mask,maksssksksss110.png,400,267,2
48,12,70,37,with_mask,maksssksksss110.png,400,267,0
113,1,136,24,with_mask,maksssksksss110.png,400,267,0
78,17,106,46,without_mask,maksssksksss110.png,400,267,2
70,111,104,145,without_mask,maksssksksss110.png,400,267,2
112,85,149,118,without_mask,maksssksksss110.png,400,267,2
124,27,153,47,without_mask,maksssksksss110.png,400,267,2
163,29,189,53,without_mask,maksssksksss110.png,400,267,2
186,18,215,44,with_mask,maksssksksss110.png,400,267,0
178,77,214,111,with_mask,maksssksksss110.png,400,267,0
216,57,241,84,without_mask,maksssksksss110.png,400,267,2
237,15,268,46,without_mask,maksssksksss110.png,400,267,2
281,19,308,40,without_mask,maksssksksss110.png,400,267,2
286,60,311,84,without_mask,maksssksksss110.png,400,267,2
253,94,293,135,with_mask,maksssksksss110.png,400,267,0
282,194,322,232,with_mask,maksssksksss110.png,400,267,0
314,115,350,152,with_mask,maksssksksss110.png,400,267,0
335,27,359,52,without_mask,maksssksksss110.png,400,267,2
381,14,401,34,without_mask,maksssksksss110.png,400,267,2
356,72,385,98,with_mask,maksssksksss110.png,400,267,0
109,59,132,82,with_mask,maksssksksss111.png,400,268,0
140,64,161,85,with_mask,maksssksksss111.png,400,268,0
184,68,207,93,with_mask,maksssksksss111.png,400,268,0
291,65,314,90,with_mask,maksssksksss111.png,400,268,0
90,84,138,131,mask_weared_incorrect,maksssksksss112.png,267,400,1
4,83,75,161,without_mask,maksssksksss114.png,400,225,2
80,58,153,141,with_mask,maksssksksss114.png,400,225,0
24,67,47,91,with_mask,maksssksksss115.png,400,267,0
79,91,103,112,with_mask,maksssksksss115.png,400,267,0
137,88,159,110,with_mask,maksssksksss115.png,400,267,0
179,107,205,134,with_mask,maksssksksss115.png,400,267,0
